20 # Version
# Nom	Codi	Data	Web	Nom_Empresa	Ratxa[0,1]
#
# Catalunya
Boya Peñas	puertos/penas	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	43.75	-6.16
Porto de Bares	oportobares	28/05/2016	http://www.clubparapenteferrol.com/	CP Ferrol	1	43.77674	-7.66721
Boya bares	puertos/bares	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	44.12	-7.69
Ferrol	puertos/ferrol	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	44.46201	-8.32712
Boya Langesteira	puertos/langosteira	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	43.35	-8.56
Vigo	puertos/vigo2	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	42.24303	-8.72614
#
# Conca Ebro
Ebro	saih/ebro	05/06/2014	http://www.saihebro.com/saihebro/index.php?url=/datos/mapas/tipoestacion:E	SAIH Ebro	1	42.97243	-4.05237
Vitoria	cnvi	20/11/2012	http://www.cnvitoria.com/estacion.php	CN Vitoria	1	42.94109	-2.60264
Alloz	saih/alloz	05/06/2014	http://www.saihebro.com/saihebro/index.php?url=/datos/mapas/tipoestacion:E	SAIH Ebro	1	42.70532	-1.94391
La Sotonera	saih/lasotonera	05/06/2014	http://www.saihebro.com/saihebro/index.php?url=/datos/mapas/tipoestacion:E	SAIH Ebro	1	42.10801	-0.67044
La Estanca	saih/laestanca	07/06/2014	http://www.saihebro.com/saihebro/index.php?url=/datos/mapas/tipoestacion:E	SAIH Ebro	1	41.06178	-0.18347
#
# Canaries
Lanzarote	puertos/lanzarote	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	29.97225	-13.53
Fuerteventura	puertos/fuerteventura	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	28.49313	-13.85839
Las Palmas	puertos/laspalmas	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	28.14087	-15.41175
Boya Gran Canaria	puertos/grancanaria	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	28.19	-15.80
Boya Tenerife	puertos/tenerifeS	28/05/2016	http://www.puertos.es/es-es/oceanografia/Paginas/portus.aspx	Puertos de España	1	28.00	-16.60
#
# Resto
# v	marbella	27/9/2013	http://www.meteopuertobanus.es/ Meteo Puerto Banus	1	36.4875	-4.9525
Praia Grande	praiagrande	28/05/2016	http://beachcam.sapo.pt/	BeachCam Sapo	1	38.81443	-9.477
Cascais	cascais	28/05/2016	http://beachcam.sapo.pt/	BeachCam Sapo	1	38.70191	-9.40886
